# 海底海床深度数据,单位为米,格式：探测点，深度
0,341.96
100,311.10
200,315.74
300,324.49
400,321.14
500,333.09
600,318.68
700,338.88
800,325.66
900,309.84
1000,328.62
1100,321.80
1200,320.74
1300,308.30
1400,328.45
1500,312.62
1600,317.83
1700,327.40
1800,323.75
1900,313.48
2000,316.66
2100,340.19
2200,332.40
2300,319.20
2400,334.64
2500,311.43
2600,328.92
2700,314.11
2800,319.84
2900,321.28
3000,333.84
3100,319.68
3200,321.20
3300,320.89
3400,325.90
3500,335.28
3600,332.00
3700,324.47
3800,313.36
3900,330.60
4000,322.32
4100,315.10
4200,319.89
4300,316.75
4400,321.92
4500,327.64
4600,320.40
4700,329.88
4800,332.00
4900,344.35
5000,348.41
